cond,label,taskDet0Dir1Loc2,targContin,maskContin,targOnsetJit,targThreshT,targMaxDur,targSize,targVertices,targSpeed,targColour,targLoc1,targLoc2,targInitPos1,targInitPos2,targInitPos3,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey,trainTrials,exptTrials
bcfs-cm,cm_1,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,24
bcfs-cm,cm_2,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,0,24
bcfs-cm,cm_3,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,18,24
bcfs-cm,cm_3a,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,3.5,1,1,1,1,0,0,24
bcfs-cm,cm_3b,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,4,1,1,1,1,0,0,24
bcfs-cm,cm_4,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,24
bcfs-cm,cm_5,0,0,1,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,24
bcfs-dm,dm_1,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,1,1,1,1,1,0,0,24
bcfs-dm,dm_2,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,2,1,1,1,1,0,0,24
bcfs-dm,dm_3,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,18,24
bcfs-dm,dm_3a,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,3.5,1,1,1,1,0,0,24
bcfs-dm,dm_3b,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,4,1,1,1,1,0,0,24
bcfs-dm,dm_4,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,5,1,1,1,1,0,0,24
bcfs-dm,dm_5,0,0,0,0.5,2,3,0.46,16,3,grey,-1.1,1.1,-1,0,1,4,0.46,8,1,1,1,1,0,0,24
bcfs-cm,nscm_3,0,0,1,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,0,24
bcfs-dm,nsdm_3,0,0,0,0.5,2,3,0.46,16,0,grey,-1.1,1.1,-1,0,1,4,0.46,3,1,1,1,1,0,0,24
