label,startVal,taskDet0Dir1Loc2,targContin,maskContin,targSize,targVertices,targSpeed,targColour,targLoc1,targLoc2,targInitPos1,targInitPos2,targInitPos3,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey,trainTrials,exptTrials,trainRevs,exptRevs
ts1ms3l,0.1,0,1,1,0.46,16,1,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,0,8,4
ts1ms3h,2,0,1,1,0.46,16,1,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,0,8,4
ts5ms3l,0.1,0,1,1,0.46,16,5,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,0,8,4
ts5ms3h,2,0,1,1,0.46,16,5,grey,1.2,1.4,0,0.33,0.66,4,0.46,3,1,1,1,1,0,0,0,8,4
