.response,key_upDown.rt,session,participant,domEye,frameRate,expName,date,
1,2.14997601509,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,16.8900699615,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.1844959259,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,16.2809960842,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.59828495979,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,4.14753699303,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.48735404015,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.86717295647,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,5.75747108459,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.72182106972,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.01872396469,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.10037207603,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.06451201439,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.56636095047,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.71984195709,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.99884390831,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.964025974274,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.04570603371,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.69060301781,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,3.4343650341,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,3.90251088142,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.71642899513,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.18136286736,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.82150578499,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.31419801712,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.24752497673,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.03612709045,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.74925589561,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.31427192688,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.782279014587,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.64802312851,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.881153106689,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.796596050262,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,3.6457362175,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.901242017746,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.38413095474,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,3.05123901367,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,3.77928185463,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.3038289547,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,3.28597903252,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.0993950367,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.931514978409,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.713620185852,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.21780610085,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.898903846741,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.91626691818,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.03234696388,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.62070393562,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,3.33992099762,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.36535000801,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,4.98711800575,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.61627483368,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.67181181908,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.997964143753,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.81462597847,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.830713033676,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.02964305878,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,1.81657099724,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.03018093109,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.952626943588,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,3.86977100372,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,3.37063503265,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.84116697311,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.75663805008,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.20179605484,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,4.45634889603,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,3.76983690262,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.1661028862,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.06268191338,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,6.29196190834,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,10.7250590324,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.71721696854,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.10756397247,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.51656413078,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.948116064072,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.14973711967,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.73596906662,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.780419111252,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.63284492493,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.11925506592,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.96861791611,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,3.0677959919,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.51461911201,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.75639200211,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.35175585747,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.53306412697,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.864328861237,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,1.29745197296,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.943206071854,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,1.64989185333,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.73892307281,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.08223295212,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.71404504776,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.78489208221,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.863590955734,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,4.48830413818,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.31218194962,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.19739103317,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.18075084686,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.63725209236,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.18318200111,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.91613197327,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.14797902107,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.99817013741,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.52381396294,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.902752161026,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.817765951157,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.36509108543,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.7987511158,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.03905892372,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.64818406105,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.10015416145,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.43103289604,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.98686003685,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.835458993912,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.500218153,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.6541800499,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,3.10166597366,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.815572977066,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.79750418663,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.849097013474,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,0.864083051682,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,3.26855993271,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.36519193649,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.23486089706,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.96733903885,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.7002389431,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,2.26893091202,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,2.23333001137,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.14945411682,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
0,0.947903156281,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
1,1.37991690636,01,2,r,60.4606147969,supreff,2015_Apr_07_1427,
