.response,key_upDown.rt,session,participant,domEye,frameRate,expName,date,
1,4.081387043,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
0,6.51379799843,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,1.12154912949,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,2.02128410339,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,2.42246723175,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.737200975418,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.792014122009,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.872433185577,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,1.33989620209,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,2.55238699913,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.783254146576,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,1.31960606575,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.750212907791,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.804577112198,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,1.21910309792,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,5.54721403122,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,3.10669803619,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,1.0205180645,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.820772171021,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.865915060043,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.713598966599,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.702668190002,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
0,2.9779779911,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.823693990707,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.871787071228,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.602041006088,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.753965854645,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,3.52610397339,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
0,1.44290399551,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.902033805847,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.600624084473,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,1.70700716972,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
0,3.19184494019,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
0,2.57117199898,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
0,0.685351133347,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
1,0.732873916626,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
0,4.75563406944,01,,r,59.9872711488,supreff,2015_Apr_03_1702,
