1.0413 	WARNING 	Movie2 stim could not be imported and won't be available
10.9973 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xb8c7af8>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units='deg', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.9973 	EXP 	window1: recordFrameIntervals = False
11.1632 	EXP 	window1: recordFrameIntervals = True
11.3473 	EXP 	window1: recordFrameIntervals = False
12.4431 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Cambria', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='deg', win=Window(...), wrapWidth=15.0)
12.5104 	EXP 	Created target = Polygon(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='target', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.46,  0.46]), units='deg', vertices=ndarray(...), win=Window(...))
12.5850 	EXP 	instrText: autoDraw = True
18.6206 	DATA 	Keypress: escape
18.6253 	EXP 	Imported cond-expt01.csv as conditions, 20 conditions, 15 params
18.6545 	EXP 	Created sequence: random, trialTypes=20, nReps=4, seed=None
18.6554 	EXP 	New trial (rep=0, index=0): {'targCorrAns': 'down', 'targDir': 'right', 'maskSize': 0.46000000000000002, 'maskColGrey': 0, 'targShape': 'circle', 'maskColYellow': 1, 'targColour': 'grey', 'targLoc': 'below', 'maskColRed': 1, 'maskColGreen': 1, 'maskShape': 'square', 'targSpeed': 3, 'maskSpeed': 8, 'targSize': 0.46000000000000002, 'maskColBlue': 1}
18.6557 	EXP 	window1: recordFrameIntervals = False
