"","subjID","maskRotSpeed","rotSpeed","meanContr","meanRT"
"1",1001,"0","0",0.040569,1.35230833333333
"2",1001,"0","15",0.0393697083333333,1.31232708333333
"3",1001,"0","30",0.037968125,1.26560625
"4",1001,"15","0",0.045284875,1.50949583333333
"5",1001,"15","15",0.0466741666666667,1.5558125
"6",1001,"15","30",0.0437287083333333,1.45762083333333
"7",1001,"30","0",0.0489448333333333,1.63149583333333
"8",1001,"30","15",0.0474149583333333,1.5805
"9",1001,"30","30",0.046336125,1.54453333333333
"10",1001,"60","0",0.050906875,1.6969
"11",1001,"60","15",0.0510080416666667,1.7002625
"12",1001,"60","30",0.0499221666666667,1.66407083333333
"13",1001,"90","0",0.0506497916666667,1.68832916666667
"14",1001,"90","15",0.0493939166666667,1.64647083333333
"15",1001,"90","30",0.0490239583333333,1.63412916666667
"16",1002,"0","0",0.0549605833333333,1.37401666666667
"17",1002,"0","15",0.0527324583333333,1.3183125
"18",1002,"0","30",0.0537814583333333,1.34452916666667
"19",1002,"15","0",0.073846875,1.846175
"20",1002,"15","15",0.0669966666666667,1.6749125
"21",1002,"15","30",0.0650380833333333,1.62595416666667
"22",1002,"30","0",0.0711124583333333,1.7778125
"23",1002,"30","15",0.0731972916666667,1.8299375
"24",1002,"30","30",0.07322125,1.83052916666667
"25",1002,"60","0",0.083522625,2.08806666666667
"26",1002,"60","15",0.0988432083333333,2.471075
"27",1002,"60","30",0.0942760833333333,2.3568875
"28",1002,"90","0",0.111274666666667,2.781875
"29",1002,"90","15",0.0934250416666667,2.33561666666667
"30",1002,"90","30",0.104321375,2.6080375
"31",1004,"0","0",0.0912358333333333,2.2808875
"32",1004,"0","15",0.0877642083333333,2.19410416666667
"33",1004,"0","30",0.0858972083333333,2.14742916666667
"34",1004,"15","0",0.111860458333333,2.79653333333333
"35",1004,"15","15",0.100725208333333,2.51812916666667
"36",1004,"15","30",0.106074416666667,2.65185833333333
"37",1004,"30","0",0.10977575,2.74438333333333
"38",1004,"30","15",0.114493958333333,2.86235416666667
"39",1004,"30","30",0.1067415,2.66855
"40",1004,"60","0",0.122607,3.0652
"41",1004,"60","15",0.116154458333333,2.9038625
"42",1004,"60","30",0.127009458333333,3.17522916666667
"43",1004,"90","0",0.135454875,3.38635833333333
"44",1004,"90","15",0.136468916666667,3.41170833333333
"45",1004,"90","30",0.115697916666667,2.89246666666667
"46",1006,"0","0",0.090581875,2.26454166666667
"47",1006,"0","15",0.0872808333333333,2.18202083333333
"48",1006,"0","30",0.081297375,2.03242083333333
"49",1006,"15","0",0.099857,2.49642916666667
"50",1006,"15","15",0.0995530416666667,2.488825
"51",1006,"15","30",0.107756958333333,2.69390416666667
"52",1006,"30","0",0.115748666666667,2.89370416666667
"53",1006,"30","15",0.105998833333333,2.649975
"54",1006,"30","30",0.0984814583333333,2.462025
"55",1006,"60","0",0.114204625,2.85511666666667
"56",1006,"60","15",0.119136708333333,2.9784
"57",1006,"60","30",0.103788,2.59470416666667
"58",1006,"90","0",0.114534291666667,2.86335416666667
"59",1006,"90","15",0.10799975,2.70001666666667
"60",1006,"90","30",0.115436208333333,2.885925
"61",1008,"0","0",0.078215375,1.955375
"62",1008,"0","15",0.0750320416666667,1.87580833333333
"63",1008,"0","30",0.0769570416666667,1.92391666666667
"64",1008,"15","0",0.0883200416666667,2.208
"65",1008,"15","15",0.090226875,2.2556875
"66",1008,"15","30",0.0857112916666667,2.14279166666667
"67",1008,"30","0",0.101999875,2.55000416666667
"68",1008,"30","15",0.0985133333333333,2.46281666666667
"69",1008,"30","30",0.0986418333333333,2.46604166666667
"70",1008,"60","0",0.10750025,2.68749583333333
"71",1008,"60","15",0.116098625,2.90247083333333
"72",1008,"60","30",0.110648,2.7662125
"73",1008,"90","0",0.113051958333333,2.82629166666667
"74",1008,"90","15",0.11384075,2.846
"75",1008,"90","30",0.111888625,2.79722083333333
