label,startVal,targSize,targVertices,targSpeed,targColour,maskVertices,maskSize,maskSpeed,maskColRed,maskColBlue,maskColGreen,maskColYellow,maskColGrey
3_l,0.1,0.46,16,3,red,4,0.46,3,1,1,1,1,0
3_r,0.8,0.46,16,3,red,4,0.46,3,1,1,1,1,0
